ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,followUp_req
22,27,4,6,3,179,26,9,30,246.28799999999998,91,0,3,0,0,0,0,56,171,19,2,0
28,19,4,2,3,225,26,9,28,246.28799999999998,91,0,1,1,0,0,2,69,169,24,8,1
25,16,4,3,3,235,16,8,32,246.28799999999998,91,0,3,0,0,0,0,75,178,25,3,1
22,27,4,6,3,179,26,9,30,246.28799999999998,91,0,3,0,0,0,0,56,171,19,2,0
14,28,4,3,3,155,12,14,34,246.28799999999998,91,0,1,2,1,0,0,95,196,25,4,0
28,19,4,5,3,225,26,9,28,246.28799999999998,91,0,1,1,0,0,2,69,169,24,8,1
36,14,4,5,3,118,13,18,50,246.28799999999998,91,0,1,1,1,0,0,98,178,31,2,1
22,27,4,6,3,179,26,9,30,246.28799999999998,91,0,3,0,0,0,0,56,171,19,2,0
1,22,5,2,3,235,11,14,37,237.65599999999998,99,0,3,1,0,0,1,88,172,29,8,0
29,19,5,4,3,225,15,15,41,237.65599999999998,99,0,4,2,1,0,2,94,182,28,3,1
25,28,5,4,3,235,16,8,32,237.65599999999998,99,0,3,0,0,0,0,75,178,25,2,0
34,8,5,4,3,118,10,10,37,237.65599999999998,99,0,1,0,0,0,0,83,172,28,3,1
5,26,5,4,3,235,20,13,43,237.65599999999998,99,0,1,1,1,0,0,106,167,38,8,0
22,13,5,5,3,179,26,9,30,237.65599999999998,99,0,3,0,0,0,0,56,171,19,1,1
15,28,5,5,3,291,31,12,40,237.65599999999998,99,0,1,1,1,0,1,73,171,25,2,0
29,14,5,5,3,225,15,15,41,237.65599999999998,99,0,4,2,1,0,2,94,182,28,8,1
26,19,5,6,3,300,26,13,43,237.65599999999998,99,0,1,2,1,1,1,77,175,25,64,1
29,22,5,6,3,225,15,15,41,237.65599999999998,99,0,4,2,1,0,2,94,182,28,8,0
22,27,5,6,3,179,26,9,30,237.65599999999998,99,0,3,0,0,0,0,56,171,19,2,0
36,23,5,2,3,118,13,18,50,237.65599999999998,99,0,1,1,1,0,0,98,178,31,2,0
36,5,5,3,3,118,13,18,50,237.65599999999998,99,0,1,1,1,0,0,98,178,31,3,1
34,28,5,3,3,118,10,10,37,237.65599999999998,99,0,1,0,0,0,0,83,172,28,1,0
36,0,5,3,3,118,13,18,50,237.65599999999998,99,1,1,1,1,0,0,98,178,31,0,1
22,27,5,4,3,179,26,9,30,237.65599999999998,99,0,3,0,0,0,0,56,171,19,2,0
23,0,5,4,3,378,49,11,36,237.65599999999998,99,1,1,2,0,1,4,65,174,21,0,1
17,16,5,6,3,179,22,17,40,237.65599999999998,99,0,2,2,0,1,0,63,170,22,1,1
14,10,5,2,3,155,12,14,34,237.65599999999998,99,0,1,2,1,0,0,95,196,25,48,1
25,10,5,2,3,235,16,8,32,237.65599999999998,99,0,3,0,0,0,0,75,178,25,8,1
15,22,5,4,3,291,31,12,40,237.65599999999998,99,0,1,1,1,0,1,73,171,25,8,0
17,10,5,4,3,179,22,17,40,237.65599999999998,99,0,2,2,0,1,0,63,170,22,8,1
28,6,5,4,3,225,26,9,28,237.65599999999998,99,0,1,1,0,0,2,69,169,24,3,1
18,10,5,5,3,330,16,4,28,237.65599999999998,99,0,2,0,0,0,0,84,182,25,8,1
25,23,5,5,3,235,16,8,32,237.65599999999998,99,0,3,0,0,0,0,75,178,25,2,0
15,28,5,5,3,291,31,12,40,237.65599999999998,99,0,1,1,1,0,1,73,171,25,2,0
22,27,5,6,3,179,26,9,30,237.65599999999998,99,0,3,0,0,0,0,56,171,19,2,0
10,7,5,2,3,361,52,3,28,237.65599999999998,99,0,1,1,1,0,4,80,172,27,8,1
14,23,5,4,3,155,12,14,34,237.65599999999998,99,0,1,2,1,0,0,95,196,25,2,0
17,25,5,6,3,179,22,17,40,237.65599999999998,99,0,2,2,0,1,0,63,170,22,8,0
14,10,5,6,3,155,12,14,34,237.65599999999998,99,0,1,2,1,0,0,95,196,25,8,1
28,11,5,2,3,225,26,9,28,237.65599999999998,99,0,1,1,0,0,2,69,169,24,1,1
16,7,6,4,3,118,15,24,46,275.089,96,0,1,2,1,1,0,75,175,25,8,1
22,27,6,4,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,3,0
34,26,6,6,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8,0
34,10,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8,1
23,22,6,5,3,378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,8,0
36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,24,1
12,19,6,6,3,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8,1
22,27,6,6,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,2,0
2,0,6,2,3,235,29,12,48,275.089,96,1,1,1,0,1,5,88,163,33,0,1
21,0,6,2,3,268,11,8,33,275.089,96,1,2,0,0,0,0,79,178,25,0,1
36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,3,1
22,13,6,5,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,2,1
15,28,6,5,3,291,31,12,40,275.089,96,0,1,1,1,0,1,73,171,25,2,0
22,13,6,2,1,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,3,1
34,25,6,2,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,3,0
12,22,6,5,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8,0
34,8,6,6,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,2,1
34,10,6,4,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,3,1
12,22,6,4,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,3,0
5,26,7,4,1,235,20,13,43,264.60400000000004,93,0,1,1,1,0,0,106,167,38,4,0
12,19,7,6,1,233,51,1,31,264.60400000000004,93,0,2,1,1,0,8,68,178,21,2,1
9,6,7,2,1,228,14,16,58,264.60400000000004,93,0,1,2,0,0,1,65,172,22,8,1
34,28,7,2,1,118,10,10,37,264.60400000000004,93,0,1,0,0,0,0,83,172,28,4,0
9,6,7,3,1,228,14,16,58,264.60400000000004,93,0,1,2,0,0,1,65,172,22,120,1
6,22,7,3,1,189,29,13,33,264.60400000000004,93,0,1,2,0,0,2,69,167,25,16,0
34,23,7,4,1,118,10,10,37,264.60400000000004,93,0,1,0,0,0,0,83,172,28,2,0
10,22,7,4,1,361,52,3,28,264.60400000000004,93,0,1,1,1,0,4,80,172,27,8,0
28,22,7,4,1,225,26,9,28,264.60400000000004,93,0,1,1,0,0,2,69,169,24,8,0
13,13,7,2,1,369,17,12,31,264.60400000000004,93,0,1,3,1,0,0,70,169,25,80,1
11,14,7,3,1,289,36,13,33,264.60400000000004,93,0,1,2,1,0,1,90,172,30,8,1
1,11,7,3,1,235,11,14,37,264.60400000000004,93,0,3,1,0,0,1,88,172,29,4,1
4,0,0,3,1,118,14,13,40,271.219,95,0,1,1,1,0,8,98,170,34,0,1
8,0,0,4,2,231,35,14,39,271.219,95,0,1,2,1,0,2,100,170,35,0,1
35,0,0,6,3,179,45,14,53,271.219,95,0,1,1,0,0,1,77,175,25,0,1
